run_id,target_col,family,segment,n,rmse,mae,r2,source_col,q33,q67
kan_main,delta_net_load_h6,season,DJF,8928,1345.4162345165082,915.7681619566928,0.992531079946617,,,
kan_main,delta_net_load_h6,season,SON,6744,1501.8243644479703,896.9817411826456,0.9886671853643795,,,
kan_main,delta_net_load_h6,weekpart,weekday,11064,1429.869086588654,910.3369680907044,0.9910283084144393,,,
kan_main,delta_net_load_h6,weekpart,weekend,4608,1378.0958569943841,901.3139751583245,0.9910748888178441,,,
kan_main,delta_net_load_h6,volatility,high,5224,1960.765324100253,1329.1475304836174,0.9823400507850885,delta_net_load_h6,637.1643120135025,1471.5004101393665
kan_main,delta_net_load_h6,volatility,low,5224,1033.187972029895,673.2013873186099,0.9953497568182366,delta_net_load_h6,637.1643120135025,1471.5004101393665
kan_main,delta_net_load_h6,volatility,mid,5224,1045.5925935488601,720.7029605448469,0.9951200098646357,delta_net_load_h6,637.1643120135025,1471.5004101393665
mlp_main,delta_net_load_h6,season,DJF,8928,1420.9358632329695,1009.1464219563194,0.9916690709772705,,,
mlp_main,delta_net_load_h6,season,SON,6744,1544.8625846455325,1031.6094475588889,0.9880083428291363,,,
mlp_main,delta_net_load_h6,weekpart,weekday,11064,1500.282890337208,1036.9319351783925,0.9901229308394135,,,
mlp_main,delta_net_load_h6,weekpart,weekend,4608,1414.3669194423235,975.307820909165,0.99059889375221,,,
mlp_main,delta_net_load_h6,volatility,high,5224,2030.23116072911,1445.296344435416,0.9810665745954366,delta_net_load_h6,637.1643120135025,1471.5004101393665
mlp_main,delta_net_load_h6,volatility,low,5224,1077.224837449609,797.7751317820527,0.9949449006191431,delta_net_load_h6,637.1643120135025,1471.5004101393665
mlp_main,delta_net_load_h6,volatility,mid,5224,1117.7690399173116,813.3667645105496,0.9944230326718094,delta_net_load_h6,637.1643120135025,1471.5004101393665
symbolic_main,delta_net_load_h6,season,DJF,8928,2348.849605326702,1810.9908840949076,0.9772356683797646,,,
symbolic_main,delta_net_load_h6,season,SON,6744,2440.81787585476,1811.7593859640883,0.9700656215847122,,,
symbolic_main,delta_net_load_h6,weekpart,weekday,11064,2445.3349988269365,1845.1085813446866,0.9737603215155416,,,
symbolic_main,delta_net_load_h6,weekpart,weekend,4608,2247.472777213818,1730.197605933927,0.9762620254040296,,,
symbolic_main,delta_net_load_h6,volatility,high,5224,3183.1444059711644,2399.863560777767,0.9534573725158962,delta_net_load_h6,637.1643120135025,1471.5004101393665
symbolic_main,delta_net_load_h6,volatility,low,5224,1887.426677659414,1541.0709540634296,0.9844812348856546,delta_net_load_h6,637.1643120135025,1471.5004101393665
symbolic_main,delta_net_load_h6,volatility,mid,5224,1850.7194021331773,1493.0302462884258,0.9847111400134527,delta_net_load_h6,637.1643120135025,1471.5004101393665
