metric,n,unblocked_mean,blocked_mean,delta_mean,ci95_low,ci95_high
any_physical_ver,3,1.0,0.6666666666666666,-0.3333333333333333,-1.0,0.0
physical_edge_count,3,15.666666666666666,11.333333333333334,-4.333333333333333,-10.0,4.0
total_edge_count,3,50.333333333333336,27.0,-23.333333333333332,-32.0,-12.0
lag_edge_count,3,16.333333333333332,1.3333333333333333,-15.0,-19.0,-11.0
physical_edge_share,3,0.29551656920077973,0.2588141025641026,-0.036702466636677165,-0.2333333333333333,0.12664473684210525
lag_edge_share,3,0.33421052631578946,0.020833333333333332,-0.3133771929824561,-0.36666666666666664,-0.24013157894736845
pruned_rmse,3,1378.6503478892234,2052.9918857897887,674.3415379005652,189.7563871035718,968.7859908917759
final_test_rmse,3,1336.7382333023304,1582.8421473396727,246.10391403734215,53.04899399625356,470.4393323586089
ver::wind_speed_10m_m_s,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,0.0
ver::wind_speed_10m_m_s_cubed,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,0.0
ver::wind_speed_hub_est,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,0.0
ver::ghi_w_m2,3,1.0,0.6666666666666666,-0.3333333333333333,-1.0,0.0
ver::ghi_day_w_m2,3,1.0,0.3333333333333333,-0.6666666666666666,-1.0,0.0
ver::ghi_temp_corr_w_m2,3,1.0,0.6666666666666666,-0.3333333333333333,-1.0,0.0
ver::temp_2m_c,3,1.0,0.6666666666666666,-0.3333333333333333,-1.0,0.0
ver::cdd_18c,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
ver::hdd_18c,3,1.0,0.3333333333333333,-0.6666666666666666,-1.0,0.0
