feature,active_edges,active_ratio
load,10,1.0
wind,10,1.0
solar,10,1.0
temp_2m_c,10,1.0
wind_speed_10m_m_s,10,1.0
wind_speed_10m_m_s_cubed,10,1.0
wind_speed_hub_est,10,1.0
surface_pressure_hpa,10,1.0
ghi_w_m2,10,1.0
ghi_day_w_m2,10,1.0
ghi_temp_corr_w_m2,10,1.0
cdd_18c,10,1.0
hdd_18c,10,1.0
solar_altitude,10,1.0
solar_azimuth,10,1.0
is_night,10,1.0
hour_sin,10,1.0
hour_cos,10,1.0
dow_sin,10,1.0
dow_cos,10,1.0
month_sin,10,1.0
month_cos,10,1.0
load_lag_12,10,1.0
load_lag_24,10,1.0
load_lag_48,10,1.0
wind_lag_12,10,1.0
wind_lag_24,10,1.0
wind_lag_48,10,1.0
solar_lag_12,10,1.0
solar_lag_24,10,1.0
solar_lag_48,10,1.0
