layer,i,j,best_name,r2,complexity,fixed,fixed_as
0,0,0,sin,0.9997959733009338,2.0,True,sin
0,0,1,sin,0.9999978542327881,2.0,True,sin
0,0,2,sin,0.9999005794525146,2.0,True,sin
0,1,0,x,0.48269888758659363,1.0,False,
0,1,1,x,0.48788583278656006,1.0,False,
0,1,2,x,0.9075630903244019,1.0,False,
0,2,0,0,1.0,0.0,True,0
0,2,1,0,1.0,0.0,True,0
0,2,2,0,1.0,0.0,True,0
0,3,0,0,1.0,0.0,True,0
0,3,1,0,1.0,0.0,True,0
0,3,2,0,1.0,0.0,True,0
0,4,0,0,1.0,0.0,True,0
0,4,1,0,1.0,0.0,True,0
0,4,2,0,1.0,0.0,True,0
0,5,0,x,0.5509951114654541,1.0,False,
0,5,1,0,1.0,0.0,True,0
0,5,2,0,1.0,0.0,True,0
0,6,0,0,1.0,0.0,True,0
0,6,1,0,1.0,0.0,True,0
0,6,2,0,1.0,0.0,True,0
0,7,0,0,1.0,0.0,True,0
0,7,1,0,1.0,0.0,True,0
0,7,2,0,1.0,0.0,True,0
0,8,0,x,0.9907284379005432,1.0,False,
0,8,1,0,1.0,0.0,True,0
0,8,2,x,0.938761830329895,1.0,False,
0,9,0,0,1.0,0.0,True,0
0,9,1,0,1.0,0.0,True,0
0,9,2,0,1.0,0.0,True,0
0,10,0,x,1.0000011920928955,1.0,True,x
0,10,1,0,1.0,0.0,True,0
0,10,2,0,1.0,0.0,True,0
0,11,0,0,1.0,0.0,True,0
0,11,1,0,1.0,0.0,True,0
0,11,2,x,0.8109201192855835,1.0,False,
0,12,0,x,0.9911870360374451,1.0,False,
0,12,1,0,1.0,0.0,True,0
0,12,2,0,1.0,0.0,True,0
0,13,0,0,1.0,0.0,True,0
0,13,1,0,1.0,0.0,True,0
0,13,2,0,1.0,0.0,True,0
1,0,0,x,0.9964537620544434,1.0,False,
1,1,0,x,0.9964063167572021,1.0,False,
1,2,0,x,0.4281139671802521,1.0,False,
